IdLot;Désignation
57;Béton de propreté en fond de fouille : C16/20 X0
57;Mise en place de ferraillage + treillis soudé + Poutrelles ZISTA + Cales pour radié
57;Réagréage / nivellement de radié
57;Film Anti-termites
57;Coulage Dalle béton ép. 15 cm en Radié + Bêches ép. 20cm : C35/45 SX3
57;Pompe beton
58;Béton de propreté en fond de fouille : C16/20 X0
58;Mise en place de feraillage + treillis soudé + Poutrelles ZISTA + Cales pour semelle-filante
58;Film Anti-termites
58;Mise en place des planches de coffrage pourtour dalle + coffrages perdus
58;Coulage Dalle béton + Longrines épaisseur 20cm, profondeur 50cm
58;Pompe beton